11  Puducherry                                 106713            36787      34.5%
12  Delhi                                     1542599           528304      34.2%
13  Telangana                                 2950067           985035      33.4%
14  Odisha                                    4036989          1255433      31.1%
15  Gujarat*                                  5767678          1765806      30.6%
16  Karnataka                                 5577719          1632122      29.3%
17  Lakshadweep                                  5738             1508      26.3%
18  Mizoram                                    137704            36023      26.2%
19  Maharashtra                              10259401          2654836      25.9%
20  Jammu Kashmir                             1534105           376263      24.5%
21  Tamil Nadu                                5695962          1318013      23.1%
22  Kerala                                    2622944           594321      22.7%
23  Jharkhand                                 4271103           934888      21.9%
24  Madhya Pradesh                            8784609          1810590      20.6%
25  Arunachal Pradesh                          162291            32095      19.8%
26  West Bengal                               7996359          1406567      17.6%
27  Manipur                                    291556            49367      16.9%
28  Bihar                                    15346855          2474062      16.1%
29  Uttar Pradesh*                           24457593          3933729      16.1%
30  Tripura                                    366391            54571      14.9%
31  Sikkim                                      48088             4922      10.2%
32  Rajasthan                                 8622934           712848       8.3%
33  Ladakh                                      32587             1338       4.1%
34  Nagaland                                   224063             1437       0.6%
35  Meghalaya                                  461336             1137       0.2%
36  Assam                                     3670264             8809       0.2%
               TOTAL                    128330027             28762599      22.4%
,
    *As per data provided by State 
                       Aadhaar Saturation in 5 < 18 Years  Age band                                                                                                        
"                                  31st May, 2020"
                                    Population  (5 < 18Y) Numbers of  Aadhaar  Saturation %
S.No           State Name
                                      (Projected 2020)  assigned (LIVE)  (LIVE)
 1  Delhi                                     4625912          4919930     106.4%
 2  Haryana*                                  6473006          6599826     102.0%
 3  Punjab*                                   6139033          5987667      97.5%
 4  Himachal Pradesh*                         1553575          1514366      97.5%
 5  Dadra & Nagar Haveli and Daman & Diu*      144653           136174      94.1%
 6  Chandigarh*                                265914           246946      92.9%
 7  Goa*                                       305488           271867      89.0%
 8  Manipur                                    740131           643521      86.9%
 9  Kerala                                    7456452          6451860      86.5%
10  Andhra Pradesh*                          11628099          9996183      86.0%
11  Gujarat*                                 16357721         13970720      85.4%
12  Jharkhand                                12048453         10152886      84.3%
13  A & N Islands*                              91529            76830      83.9%
14  Karnataka                                15921196         13195482      82.9%
15  Telangana                                 9646007          7859925      81.5%
16  Chhattisgarh                              8335772          6766452      81.2%
17  Uttarakhand                               3256772          2641020      81.1%
18  Mizoram                                    335784           269497      80.3%
19  Lakshadweep                                 16963            13574      80.0%
20  Puducherry                                 297751           238210      80.0%
21  Odisha                                   12011055          9536359      79.4%
22  Tamil Nadu                               16676051         13219549      79.3%
23  Maharashtra                              29822224         23536589      78.9%
24  Madhya Pradesh                           25131677         19438962      77.3%
25  Tripura                                   1029138           777713      75.6%
26  Bihar                                    41941200         31156652      74.3%
27  West Bengal                              24981474         18124162      72.6%
28  Uttar Pradesh*                           77967566         54375184      69.7%
29  Rajasthan                                25031439         16795954      67.1%
30  Arunachal Pradesh                          508371           335398      66.0%
31  Sikkim                                     183871           105182      57.2%
32  Jammu Kashmir                             3918200          2236068      57.1%
33  Ladakh                                      83230            39835      47.9%
34  Nagaland                                   712147           253197      35.6%
35  Meghalaya                                 1110340           146754      13.2%
36  Assam                                    10119889           571530       5.6%
               TOTAL                    376868086            282602023  75.0%
,
    *As per data provided by State 
